imo,vessel_name,source_status,rmrs_number,class_status,surveys_count,fetched_at
6914514,"",not_access,"","",0,2026-06-02 14:11:26.367846+00
6928553,"",not_access,"","",0,2026-06-02 14:11:34.410017+00
7234193,"",not_access,"","",0,2026-06-02 14:11:45.694413+00
7426863,"",not_access,"","",0,2026-06-02 14:12:31.669136+00
7436375,"",not_access,"","",0,2026-06-02 14:12:35.819743+00
7645172,"",not_access,"","",0,2026-06-02 14:12:48.304603+00
7703998,"",not_access,"","",0,2026-06-02 14:12:52.525305+00
7727425,"",not_access,"","",0,2026-06-02 14:13:04.623607+00
7740934,"",not_access,"","",0,2026-06-02 14:13:08.82302+00
7832816,"",not_access,"","",0,2026-06-02 14:13:14.94185+00
7832945,"",not_access,"","",0,2026-06-02 14:13:18.612685+00
7920053,"",not_access,"","",0,2026-06-02 14:13:23.004489+00
7932757,"",not_access,"","",0,2026-06-02 14:13:27.525536+00
7941631,"",not_access,"","",0,2026-06-02 14:13:31.814131+00
7942180,"",not_access,"","",0,2026-06-02 14:13:41.342874+00
7943184,"",not_access,"","",0,2026-06-02 14:13:45.598882+00
7943201,"",not_access,"","",0,2026-06-02 14:13:50.774935+00
8033235,"",not_access,"","",0,2026-06-02 14:14:19.623284+00
8033510,"",not_access,"","",0,2026-06-02 14:14:23.568238+00
8106824,"",not_access,"","",0,2026-06-02 14:14:33.459812+00
8116312,"",not_access,"","",0,2026-06-02 14:14:38.701578+00
8225503,"",not_access,"","",0,2026-06-02 14:15:03.705524+00
8226765,"",not_access,"","",0,2026-06-02 14:15:08.464524+00
8227068,"",not_access,"","",0,2026-06-02 14:15:14.876336+00
8228684,"",not_access,"","",0,2026-06-02 14:15:18.731711+00
8320925,"",not_access,"","",0,2026-06-02 14:15:30.220599+00
8357605,"",not_access,"","",0,2026-06-02 14:15:52.68498+00
8358996,"",not_access,"","",0,2026-06-02 14:15:56.419362+00
8401080,"",not_access,"","",0,2026-06-02 14:16:02.993959+00
8411085,"",not_access,"","",0,2026-06-02 14:16:07.181196+00
8422876,"",not_access,"","",0,2026-06-02 14:16:19.592494+00
8423258,"",not_access,"","",0,2026-06-02 14:16:23.654554+00
8509935,"",not_access,"","",0,2026-06-02 14:16:58.16247+00
8608846,"",not_access,"","",0,2026-06-02 14:18:52.452773+00
8612756,"",not_access,"","",0,2026-06-02 14:18:58.416519+00
8624565,"",not_access,"","",0,2026-06-02 14:19:15.686465+00
8625961,"",not_access,"","",0,2026-06-02 14:19:19.575031+00
8667048,"",not_access,"","",0,2026-06-02 14:19:54.311737+00
8705838,"",not_access,"","",0,2026-06-02 14:20:16.85535+00
8710285,"",not_access,"","",0,2026-06-02 14:20:25.828593+00
8714310,"",not_access,"","",0,2026-06-02 14:20:34.969884+00
8718158,"",not_access,"","",0,2026-06-02 14:21:09.557265+00
8721806,"",not_access,"","",0,2026-06-02 14:22:15.604554+00
8721856,"",not_access,"","",0,2026-06-02 14:22:19.752975+00
8722070,"",not_access,"","",0,2026-06-02 14:22:38.079294+00
8722123,"",not_access,"","",0,2026-06-02 14:22:49.490577+00
8722812,"",not_access,"","",0,2026-06-02 14:22:53.968681+00
8725852,"",not_access,"","",0,2026-06-02 14:23:20.230117+00
8727678,"",not_access,"","",0,2026-06-02 14:23:24.222026+00
8729432,"",not_access,"","",0,2026-06-02 14:23:28.344971+00
8729987,"",not_access,"","",0,2026-06-02 14:23:40.433273+00
8747977,"",not_access,"","",0,2026-06-02 14:24:01.305273+00
8747989,"",not_access,"","",0,2026-06-02 14:24:05.550049+00
8747991,"",not_access,"","",0,2026-06-02 14:24:11.206682+00
8748000,"",not_access,"","",0,2026-06-02 14:24:14.883979+00
8811807,"",not_access,"","",0,2026-06-02 14:25:21.779937+00
8819287,"",not_access,"","",0,2026-06-02 14:25:55.552929+00
8610277,VSEVOLOD SIBIRTSEV,ok,881650,30.07.2022 &nbsp;&nbsp; CLASS VALID (IN SERVICE),74,2026-06-02 14:18:54.586239+00
8359237,GEFEST,ok,201490,09.06.2023 &nbsp;&nbsp; CLASS VALID (ENTERED RS CLASS FROM NON–IACS MEMBER SOCIETY CLASS),60,2026-06-02 14:15:58.550599+00
8422242,YASNYY,ok,850346,"08.09.2025 &nbsp;&nbsp; CLASS VALID, THE SHIP IS UNDER SURVEY",60,2026-06-02 14:16:16.076087+00
7821910,MYS KOMMUNAROV,ok,794748,13.01.2022 &nbsp;&nbsp; CLASS VALID (IN SERVICE),44,2026-06-02 14:13:11.1532+00
6920094,DUDINKA,ok,684688,19.01.2022 &nbsp;&nbsp; CLASS VALID (IN SERVICE),31,2026-06-02 14:11:29.669903+00
8723311,BASKUNCHAKSKIY,ok,872082,25.11.2025 &nbsp;&nbsp; CLASS VALID (IN SERVICE),31,2026-06-02 14:22:56.792172+00
8020147,ANTEY,ok,804776,04.09.2019 &nbsp;&nbsp; CLASS VALID (REINSTATED TO LIFT SUSPENSION),27,2026-06-02 14:14:09.510152+00
8730106,SPOKOYNYY,ok,890019,24.05.2016 &nbsp;&nbsp; CLASS VALID (REINSTATED TO LIFT SUSPENSION),20,2026-06-02 14:23:42.752905+00
7523283,BREST,ok,755187,14.07.2025 &nbsp;&nbsp; CLASS VALID (IN SERVICE),19,2026-06-02 14:12:38.126118+00
1051513,АНДРЕЙ БАСАРГИН,ok_via_regbook,230192,"",0,2026-06-02 14:11:12.805444+00
2941832,ОСТРОВНОЙ-2,ok_via_regbook,041195,"",0,2026-06-02 14:11:19.772703+00
7032179,ЗВЕЗДА МУРМАНА,ok_via_regbook,694770,"",0,2026-06-02 14:11:42.195528+00
7234868,МАЙБОРГ,ok_via_regbook,734794,"",0,2026-06-02 14:11:51.883089+00
7311824,СЕВЕРЯНИН II,ok_via_regbook,724035,"",0,2026-06-02 14:11:59.455042+00
7376410,ЗАЛИВ ЗАБИЯКА,ok_via_regbook,744575,"",0,2026-06-02 14:12:06.351012+00
7382914,ЗВЕЗДА СЕВЕРА,ok_via_regbook,735114,"",0,2026-06-02 14:12:12.781692+00
7418725,ДМИТРИЙ,ok_via_regbook,743464,"",0,2026-06-02 14:12:20.818862+00
7421198,ОЛЬХОВАТКА,ok_via_regbook,732830,"",0,2026-06-02 14:12:27.938337+00
7607273,ВЛАДИМИР ЗАГОСКИН,ok_via_regbook,774405,"",0,2026-06-02 14:12:43.600625+00
7704708,ОЛАФССОН,ok_via_regbook,775592,"",0,2026-06-02 14:13:00.505086+00
7941643,БУТОВСК,ok_via_regbook,801570,"",0,2026-06-02 14:13:37.740138+00
7945663,БАКЛАНОВО,ok_via_regbook,801602,"",0,2026-06-02 14:13:56.025843+00
8001971,ЮГО-ВОСТОК,ok_via_regbook,804668,"",0,2026-06-02 14:14:07.316271+00
8024002,ВОЛК АРКТИКИ,ok_via_regbook,825734,"",0,2026-06-02 14:14:15.775469+00
8033924,ВОЙКОВО,ok_via_regbook,811069,"",0,2026-06-02 14:14:29.914966+00
8117550,ГНУПУР,ok_via_regbook,805694,"",0,2026-06-02 14:14:45.587086+00
8133413,КОКШАЙСК,ok_via_regbook,820980,"",0,2026-06-02 14:14:50.996992+00
8134912,ЕФИМ КОСТЮКОВ,ok_via_regbook,822492,"",0,2026-06-02 14:14:59.022453+00
8315944,ГУЛДРАНГУР,ok_via_regbook,835859,"",0,2026-06-02 14:15:25.087691+00
8330712,ВУТАН,ok_via_regbook,842782,"",0,2026-06-02 14:15:37.263012+00
8331534,ИРТЫШСК,ok_via_regbook,841652,"",0,2026-06-02 14:15:43.438928+00
8352162,БИКИН,ok_via_regbook,914872,"",0,2026-06-02 14:15:48.84448+00
8415574,ОСВЕЙСКОЕ,ok_via_regbook,830499,"",0,2026-06-02 14:16:13.811041+00
8423533,КИШИНЕВКА,ok_via_regbook,840409,"",0,2026-06-02 14:16:29.629663+00
8423557,МЫС БАСАРГИНА,ok_via_regbook,841667,"",0,2026-06-02 14:16:35.156627+00
8423583,КРЫМСКИЙ,ok_via_regbook,841120,"",0,2026-06-02 14:16:40.984058+00
8504519,ПРОТОН,ok_via_regbook,855710,"",0,2026-06-02 14:16:47.675307+00
8504545,ЯХОНТ,ok_via_regbook,856412,"",0,2026-06-02 14:16:53.350074+00
8520769,ПРОЕКТ,ok_via_regbook,855411,"",0,2026-06-02 14:17:04.005875+00
8522250,МАРТА АРЕНДЗЕЕ,ok_via_regbook,851993,"",0,2026-06-02 14:17:09.286972+00
8522286,ОБЕЛЯЙ,ok_via_regbook,851577,"",0,2026-06-02 14:17:14.64883+00
8522303,КАРАЧАРОВО,ok_via_regbook,852464,"",0,2026-06-02 14:17:20.426055+00
8602866,АЛСЕЙ,ok_via_regbook,867313,"",0,2026-06-02 14:17:25.671846+00
8604022,КАПИТАН ГЕРАЩЕНКО,ok_via_regbook,867258,"",0,2026-06-02 14:17:32.027485+00
8607139,НИКОЛАЙ ТЕЛЕНКОВ,ok_via_regbook,875502,"",0,2026-06-02 14:17:38.022357+00
8607153,АЛЕКСАНДР КОСАРЕВ,ok_via_regbook,875521,"",0,2026-06-02 14:17:43.252581+00
8607165,АДМИРАЛ ШАБАЛИН,ok_via_regbook,881683,"",0,2026-06-02 14:17:48.388256+00
8607177,АЛЕКСАНДР МИРОНЕНКО,ok_via_regbook,881946,"",0,2026-06-02 14:17:54.615041+00
8607191,ВАСИЛИЙ ФИЛИППОВ,ok_via_regbook,884732,"",0,2026-06-02 14:18:00.814281+00
8607206,КУРШСКАЯ КОСА,ok_via_regbook,885294,"",0,2026-06-02 14:18:07.025282+00
8607232,ЯНТАРНЫЙ,ok_via_regbook,885913,"",0,2026-06-02 14:18:28.483146+00
8607282,ПАВЕЛ КУТАХОВ,ok_via_regbook,893854,"",0,2026-06-02 14:18:35.926284+00
8607323,ВАСИЛИЙ ЛОЗОВСКИЙ,ok_via_regbook,893892,"",0,2026-06-02 14:18:43.537004+00
8607402,КАПИТАН БОГОМОЛОВ,ok_via_regbook,902493,"",0,2026-06-02 14:18:48.519885+00
8615318,МЕЛЬКАРТ-7,ok_via_regbook,877989,"",0,2026-06-02 14:19:05.039082+00
8617859,ЛИНДГОЛЬМ,ok_via_regbook,866715,"",0,2026-06-02 14:19:11.404246+00
8627141,ХОКУТАЦУ МАРУ № 1,ok_via_regbook,846637,"",0,2026-06-02 14:19:26.024047+00
8651453,ТУНГИР,ok_via_regbook,002010,"",0,2026-06-02 14:19:32.633546+00
8661173,АРКА-31,ok_via_regbook,010777,"",0,2026-06-02 14:19:38.47162+00
8661202,ГОРИН,ok_via_regbook,971076,"",0,2026-06-02 14:19:44.054278+00
8662634,НАЗИМОВ,ok_via_regbook,000725,"",0,2026-06-02 14:19:50.642925+00
8701959,МЕЛЬКАРТ-2,ok_via_regbook,877090,"",0,2026-06-02 14:20:00.604922+00
8703593,СОВЕРЕН,ok_via_regbook,877739,"",0,2026-06-02 14:20:06.079477+00
8704834,МЕЛЬКАРТ-6,ok_via_regbook,877974,"",0,2026-06-02 14:20:12.936865+00
8707446,ЦАРИЦА,ok_via_regbook,888199,"",0,2026-06-02 14:20:22.394579+00
8713184,ОСТРОВНОЙ-10,ok_via_regbook,877921,"",0,2026-06-02 14:20:31.680272+00
8714530,МЕЛЬКАРТ-4,ok_via_regbook,887753,"",0,2026-06-02 14:20:40.748546+00
8716875,ГЕРОИ ДАМАНСКОГО,ok_via_regbook,877194,"",0,2026-06-02 14:20:46.868179+00
8717049,КАЮМ,ok_via_regbook,877902,"",0,2026-06-02 14:20:53.227514+00
8717192,МЕРЛАНГ,ok_via_regbook,877890,"",0,2026-06-02 14:20:59.973747+00
8717568,АРКА-35,ok_via_regbook,876740,"",0,2026-06-02 14:21:05.473463+00
8721040,XXVII СЪЕЗД КПСС,ok_via_regbook,841686,"",0,2026-06-02 14:21:15.671978+00
8721052,XX СЪЕЗД ВЛКСМ,ok_via_regbook,851851,"",0,2026-06-02 14:21:21.93884+00
8721105,МИНИСТР ИШКОВ,ok_via_regbook,852356,"",0,2026-06-02 14:21:27.243483+00
8721117,МАТВЕЙ КУЗЬМИН,ok_via_regbook,862150,"",0,2026-06-02 14:21:33.275237+00
8721131,КАПИТАН ФАЛЕЕВ,ok_via_regbook,852394,"",0,2026-06-02 14:21:39.866914+00
8721167,ИЛЬЯ КОНОВАЛОВ,ok_via_regbook,852387,"",0,2026-06-02 14:21:46.922792+00
8721181,ВАСИЛЬЕВСКИЙ ОСТРОВ,ok_via_regbook,883829,"",0,2026-06-02 14:21:52.969481+00
8721210,ВЛАДИМИР БАБИЧ,ok_via_regbook,852360,"",0,2026-06-02 14:21:58.949155+00
8721246,АНАТОЛИЙ ПОНОМАРЕВ,ok_via_regbook,852341,"",0,2026-06-02 14:22:05.825325+00
8721260,АЛЕКСАНДР БЕЛЯКОВ,ok_via_regbook,862146,"",0,2026-06-02 14:22:11.911229+00
8721985,КОМАРНО,ok_via_regbook,862343,"",0,2026-06-02 14:22:27.110976+00
8722032,КИРОВКА,ok_via_regbook,840857,"",0,2026-06-02 14:22:33.370811+00
8722111,МОРСКОЙ БРИЗ,ok_via_regbook,870246,"",0,2026-06-02 14:22:45.22752+00
8723880,РЫБОЛОВ-1,ok_via_regbook,881240,"",0,2026-06-02 14:23:03.340227+00
8724327,КАПИТАН КОЛЕСНИКОВ,ok_via_regbook,873687,"",0,2026-06-02 14:23:09.905511+00
8724377,ОБАЯТЕЛЬНЫЙ,ok_via_regbook,842602,"",0,2026-06-02 14:23:16.745339+00
8729652,МАГАДАН,ok_via_regbook,885843,"",0,2026-06-02 14:23:35.036628+00
8747276,УЗОН,ok_via_regbook,000496,"",0,2026-06-02 14:23:49.458307+00
8747329,АЛЧАН,ok_via_regbook,000585,"",0,2026-06-02 14:23:56.52722+00
8800468,АСКУР,ok_via_regbook,888127,"",0,2026-06-02 14:24:20.718547+00
8801187,СЕВРЫБА-1,ok_via_regbook,896424,"",0,2026-06-02 14:24:26.735443+00
8801931,МЕЛЬКАРТ-3,ok_via_regbook,887687,"",0,2026-06-02 14:24:35.000085+00
8804074,УГУЛАН,ok_via_regbook,887213,"",0,2026-06-02 14:24:40.783664+00
8804309,ИХТИОЛОГ,ok_via_regbook,887500,"",0,2026-06-02 14:24:48.828765+00
8805303,ВИЛЮЙ,ok_via_regbook,888220,"",0,2026-06-02 14:24:54.535871+00
8809294,ВОСТОК-5,ok_via_regbook,887603,"",0,2026-06-02 14:25:03.807654+00
8810451,МАТРИЦА,ok_via_regbook,887073,"",0,2026-06-02 14:25:10.300647+00
8810504,СУНТАР,ok_via_regbook,887251,"",0,2026-06-02 14:25:16.820525+00
8813702,КАНИН НОС,ok_via_regbook,888216,"",0,2026-06-02 14:25:30.981835+00
8815334,ВОСТОК-7,ok_via_regbook,888004,"",0,2026-06-02 14:25:37.920213+00
8817423,АЛЕКСЕЙ АНИЧКИН,ok_via_regbook,887143,"",0,2026-06-02 14:25:45.327151+00
8817734,ПЕТРОПАВЛОВСК,ok_via_regbook,905407,"",0,2026-06-02 14:25:51.557628+00
8821371,ГУРД,ok_via_regbook,897713,"",0,2026-06-02 14:10:35.441337+00
8821462,КАРОЛИНА 77,ok_via_regbook,887567,"",0,2026-06-02 14:10:43.627327+00
